date,point de vente,ca ht,food ca,bev ca,total couverts,ticket moyen,autres ca,ms/c,température,précipitation,durée - soleil,année,mois,mois_nom,semaine_iso,day_of_year,day_name
2025-10-18,Guinguette,0,0,0,0.0,0.0,0,1573,10.8,0.0,0.0,2025,10,October,42,291,Saturday
2025-10-18,Restaurant,4087,3460,1011,70.0,58.0,-384,2956,10.8,0.0,0.0,2025,10,October,42,291,Saturday
2025-10-16,Restaurant,2822,1107,465,29.0,97.0,1250,0,12.0,0.0,0.0,2025,10,October,42,289,Thursday
2025-10-11,Guinguette,0,0,0,0.0,0.0,0,2486,14.1,0.0,0.0,2025,10,October,41,284,Saturday
2025-10-11,Restaurant,1225,0,1225,0.0,0.0,0,2794,14.1,0.0,0.0,2025,10,October,41,284,Saturday
2025-10-09,Restaurant,1457,1097,530,20.0,73.0,-170,0,12.6,0.2,0.0,2025,10,October,41,282,Thursday
2025-10-08,Restaurant,1483,1538,593,36.0,41.0,-647,0,12.0,0.0,0.0,2025,10,October,41,281,Wednesday
2025-10-04,Guinguette,0,0,0,0.0,0.0,0,13695,13.3,10.4,0.0,2025,10,October,40,277,Saturday
2025-10-04,Restaurant,2636,1853,783,9.0,293.0,0,6713,13.3,10.4,0.0,2025,10,October,40,277,Saturday
2025-10-02,Restaurant,1752,1244,509,26.0,67.0,0,0,9.4,0.0,0.0,2025,10,October,40,275,Thursday
2025-09-28,Guinguette,5903,4020,1883,155.0,38.0,0,0,11.4,0.0,0.0,2025,9,September,39,271,Sunday
2025-09-27,Guinguette,6365,3581,2784,192.0,33.0,0,8971,11.8,0.0,0.0,2025,9,September,39,270,Saturday
2025-09-27,Restaurant,5685,4212,1474,97.0,59.0,0,10960,11.8,0.0,0.0,2025,9,September,39,270,Saturday
2025-09-26,Restaurant,287,215,72,2.0,143.0,0,0,9.6,5.0,0.0,2025,9,September,39,269,Friday
2025-09-25,Guinguette,446,297,148,13.0,34.0,0,0,10.9,1.2,0.0,2025,9,September,39,268,Thursday
2025-09-25,Restaurant,36275,13440,9185,280.0,130.0,13650,0,10.9,1.2,0.0,2025,9,September,39,268,Thursday
2025-09-24,Guinguette,364,294,71,17.0,21.0,0,0,10.7,1.9,0.0,2025,9,September,39,267,Wednesday
2025-09-23,Restaurant,3929,3705,224,65.0,60.0,0,0,11.4,1.3,0.0,2025,9,September,39,266,Tuesday
